fid,x_coord,y_coord,sample_id,sample_name,ipen,match_name,ott_id,rank,wikidataID,unknown
51,2578417.59570429,1182433.16021095,dbgi_000016,Physalis peruviana L.,Physalis peruviana L.,Physalis peruviana L.,Physalis peruviana L.,Physalis peruviana L.,Physalis peruviana L.,
51,2578417.59570429,1182433.16021095,dbgi_000096,Physalis peruviana L.,Physalis peruviana L.,Physalis peruviana L.,Physalis peruviana L.,Physalis peruviana L.,Physalis peruviana L.,
52,2578416.92974458,1182433.63302222,dbgi_,Leucaena sp.,Leucaena sp.,Leucaena sp.,Leucaena sp.,Leucaena sp.,Leucaena sp.,
53,2578411.85658022,1182429.08799812,dbgi_000026,Arachis hypogaea L.,Arachis hypogaea L.,Arachis hypogaea L.,Arachis hypogaea L.,Arachis hypogaea L.,Arachis hypogaea L.,
53,2578411.85658022,1182429.08799812,dbgi_000083,Arachis hypogaea L.,Arachis hypogaea L.,Arachis hypogaea L.,Arachis hypogaea L.,Arachis hypogaea L.,Arachis hypogaea L.,
55,2578411.42803213,1182428.81638313,dbgi_000061,Murraya paniculata (L.) Jack,Murraya paniculata (L.) Jack,Murraya paniculata (L.) Jack,Murraya paniculata (L.) Jack,Murraya paniculata (L.) Jack,Murraya paniculata (L.) Jack,
56,2578411.75900002,1182428.3033326,dbgi_000042,Pogostemon cablin (Blanco) Benth.,Pogostemon cablin (Blanco) Benth.,Pogostemon cablin (Blanco) Benth.,Pogostemon cablin (Blanco) Benth.,Pogostemon cablin (Blanco) Benth.,Pogostemon cablin (Blanco) Benth.,
57,2578411.95768135,1182427.93916732,dbgi_000115,Vetiveria zizanioides (L.) Nash,Vetiveria zizanioides (L.) Nash,Vetiveria zizanioides (L.) Nash,Vetiveria zizanioides (L.) Nash,Vetiveria zizanioides (L.) Nash,Vetiveria zizanioides (L.) Nash,
58,2578412.58767723,1182427.59034326,dbgi_000081,Murraya koenigii (L.) Spreng.,Murraya koenigii (L.) Spreng.,Murraya koenigii (L.) Spreng.,Murraya koenigii (L.) Spreng.,Murraya koenigii (L.) Spreng.,Murraya koenigii (L.) Spreng.,
59,2578412.28890074,1182427.37606922,dbgi_000071,Jasminum sambac Sol.,Jasminum sambac Sol.,Jasminum sambac Sol.,Jasminum sambac Sol.,Jasminum sambac Sol.,Jasminum sambac Sol.,
60,2578412.95083652,1182427.22818995,dbgi_,Elettaria major Sm.,Elettaria major Sm.,Elettaria major Sm.,Elettaria major Sm.,Elettaria major Sm.,Elettaria major Sm.,
61,2578413.21591263,1182426.94500617,dbgi_000069,Alpinia galanga (L.) Willd.,Alpinia galanga (L.) Willd.,Alpinia galanga (L.) Willd.,Alpinia galanga (L.) Willd.,Alpinia galanga (L.) Willd.,Alpinia galanga (L.) Willd.,
62,2578413.05143467,1182426.53054182,dbgi_000095,Elettaria cardamomum (L.) Maton,Elettaria cardamomum (L.) Maton,Elettaria cardamomum (L.) Maton,Elettaria cardamomum (L.) Maton,Elettaria cardamomum (L.) Maton,Elettaria cardamomum (L.) Maton,
63,2578413.82805233,1182425.39177084,dbgi_000100,Vanilla planifolia Andrews,Vanilla planifolia Andrews,Vanilla planifolia Andrews,Vanilla planifolia Andrews,Vanilla planifolia Andrews,Vanilla planifolia Andrews,
64,2578414.11173909,1182425.83641463,dbgi_000046,Cinnamomum zeylanicum Blume,Cinnamomum zeylanicum Blume,Cinnamomum zeylanicum Blume,Cinnamomum zeylanicum Blume,Cinnamomum zeylanicum Blume,Cinnamomum zeylanicum Blume,
65,2578414.54229915,1182425.96719222,dbgi_,Plectranthus amboinicus (Lour.) Spreng. 'Variegatus',Plectranthus amboinicus (Lour.) Spreng. 'Variegatus',Plectranthus amboinicus (Lour.) Spreng. 'Variegatus',Plectranthus amboinicus (Lour.) Spreng. 'Variegatus',Plectranthus amboinicus (Lour.) Spreng. 'Variegatus',Plectranthus amboinicus (Lour.) Spreng. 'Variegatus',X1
66,2578414.49149708,1182426.26697469,dbgi_000068,Persicaria odorata (Lour.) Soj�k,Persicaria odorata (Lour.) Soj�k,Persicaria odorata (Lour.) Soj�k,Persicaria odorata (Lour.) Soj�k,Persicaria odorata (Lour.) Soj�k,Persicaria odorata (Lour.) Soj�k,
67,2578415.05384071,1182426.11758645,dbgi_000047,Piper longum L.,Piper longum L.,Piper longum L.,Piper longum L.,Piper longum L.,Piper longum L.,
68,2578415.36971887,1182426.40026723,dbgi_000110,Plectranthus amboinicus (Lour.) Spreng.,Plectranthus amboinicus (Lour.) Spreng.,Plectranthus amboinicus (Lour.) Spreng.,Plectranthus amboinicus (Lour.) Spreng.,Plectranthus amboinicus (Lour.) Spreng.,Plectranthus amboinicus (Lour.) Spreng.,
69,2578415.74897387,1182426.44855434,dbgi_000072,Piper betle L.,Piper betle L.,Piper betle L.,Piper betle L.,Piper betle L.,Piper betle L.,
70,2578415.21982764,1182426.91231178,dbgi_000073,Salvia divinorum Epling et Jativa,Salvia divinorum Epling et Jativa,Salvia divinorum Epling et Jativa,Salvia divinorum Epling et Jativa,Salvia divinorum Epling et Jativa,Salvia divinorum Epling et Jativa,
71,2578414.85465638,1182427.06220301,dbgi_000060,Rungia klossii S.Moore,Rungia klossii S.Moore,Rungia klossii S.Moore,Rungia klossii S.Moore,Rungia klossii S.Moore,Rungia klossii S.Moore,
72,2578415.20876185,1182427.32979407,dbgi_000122,Stevia rebaudiana (Bertoni) Hemsl. 'Zucchero',Stevia rebaudiana (Bertoni) Hemsl. 'Zucchero',Stevia rebaudiana (Bertoni) Hemsl. 'Zucchero',Stevia rebaudiana (Bertoni) Hemsl. 'Zucchero',Stevia rebaudiana (Bertoni) Hemsl. 'Zucchero',Stevia rebaudiana (Bertoni) Hemsl. 'Zucchero',
73,2578415.59103479,1182427.3715423,dbgi_,aaunknown,Aaunknown,Aaunknown,Aaunknown,Aaunknown,Aaunknown,Pedimus Spurius (X2)
74,2578416.05831317,1182427.74325244,dbgi_000116,Coffea arabica L.,Coffea arabica L.,Coffea arabica L.,Coffea arabica L.,Coffea arabica L.,Coffea arabica L.,
75,2578415.8777395,1182427.97664013,dbgi_000044,Lippia dulcis Trevis.,Lippia dulcis Trevis.,Lippia dulcis Trevis.,Lippia dulcis Trevis.,Lippia dulcis Trevis.,Lippia dulcis Trevis.,
76,2578416.98130113,1182427.29709967,dbgi_000074,Paullinia cupana Humb. Bonpl. et Kunth,Paullinia cupana Humb. Bonpl. et Kunth,Paullinia cupana Humb. Bonpl. et Kunth,Paullinia cupana Humb. Bonpl. et Kunth,Paullinia cupana Humb. Bonpl. et Kunth,Paullinia cupana Humb. Bonpl. et Kunth,
77,2578416.71547054,1182428.28371596,dbgi_000054,Catha edulis Forssk.,Catha edulis Forssk.,Catha edulis Forssk.,Catha edulis Forssk.,Catha edulis Forssk.,Catha edulis Forssk.,
78,2578417.83437338,1182428.82392799,dbgi_000041,Musa acuminata Colla,Musa acuminata Colla,Musa acuminata Colla,Musa acuminata Colla,Musa acuminata Colla,Musa acuminata Colla,
79,2578418.63890703,1182428.8666822,dbgi_000078,Psidium cattleianum Sabine,Psidium cattleianum Sabine,Psidium cattleianum Sabine,Psidium cattleianum Sabine,Psidium cattleianum Sabine,Psidium cattleianum Sabine,
80,2578418.47945898,1182429.36162507,dbgi_000059,Brosimum alicastrum Sw.,Brosimum alicastrum Sw.,Brosimum alicastrum Sw.,Brosimum alicastrum Sw.,Brosimum alicastrum Sw.,Brosimum alicastrum Sw.,
81,2578418.99049754,1182429.04323194,dbgi_000064,Blighia sapida Kn.,Blighia sapida Kn.,Blighia sapida Kn.,Blighia sapida Kn.,Blighia sapida Kn.,Blighia sapida Kn.,
82,2578419.06896409,1182428.77388041,dbgi_,Quisqualis indica L.,Quisqualis indica L.,Quisqualis indica L.,Quisqualis indica L.,Quisqualis indica L.,Quisqualis indica L.,
83,2578419.34398028,1182429.5699506,dbgi_000045,Mangifera indica L.,Mangifera indica L.,Mangifera indica L.,Mangifera indica L.,Mangifera indica L.,Mangifera indica L.,
84,2578419.11044359,1182429.77215467,dbgi_000084,Solanum betaceum Cav.,Solanum betaceum Cav.,Solanum betaceum Cav.,Solanum betaceum Cav.,Solanum betaceum Cav.,Solanum betaceum Cav.,
85,2578418.93031409,1182430.10284017,dbgi_000104,Eugenia uniflora L.,Eugenia uniflora L.,Eugenia uniflora L.,Eugenia uniflora L.,Eugenia uniflora L.,Eugenia uniflora L.,
86,2578419.77719159,1182430.10284017,dbgi_000058,Syzygium jambos (L.) Alston,Syzygium jambos (L.) Alston,Syzygium jambos (L.) Alston,Syzygium jambos (L.) Alston,Syzygium jambos (L.) Alston,Syzygium jambos (L.) Alston,
87,2578420.0729266,1182429.75333517,dbgi_,Nephelium longana Cambess.,Nephelium longana Cambess.,Nephelium longana Cambess.,Nephelium longana Cambess.,Nephelium longana Cambess.,Nephelium longana Cambess.,
